ind53 ind54 ind55 logpr disp y
1 0 0 0.9931573 0 9.063695
1 0 0 1.481502 0 8.16877
1 0 0 1.480625 0 8.168486
1 0 0 1.481592 0 8.226306
1 0 0 1.481812 0 8.27792
1 0 0 1.481662 0 8.064007
1 0 0 1.3736 0 8.061802
1 0 0 0.9974341 0 8.67727
1 0 0 0.9758313 0 9.148678
1 0 0 1.481750 0 7.938446
1 0 0 1.482597 0 7.934513
1 0 0 1.483155 0 8.03106
1 0 0 1.480907 0 7.890957
1 0 0 1.329893 0 8.042056
1 0 0 0.9885191 0 8.622274
1 0 0 0.986586 0 9.388654
1 0 0 1.254046 0 8.624432
1 0 0 1.482159 0 7.840706
1 0 0 1.482528 0 7.807917
1 0 0 1.481588 0 7.916807
1 0 0 1.482312 0 8.012681
1 0 0 1.480641 0 7.897668
1 0 0 1.480824 0 7.825645
1 0 0 1.480278 0 8.262043
1 0 0 1.48019 0.118 10.03728
1 0 0 1.259302 0.03404348 8.12415
1 0 0 1.481444 0 8.211754
1 0 0 1.480973 0 9.376024
1 0 0 1.480974 0 8.405367
1 0 0 1.470088 0 8.37078
1 0 0 1.203973 0.05628452 8.811056
1 0 0 1.251115 0.05411262 8.414496
1 0 0 0.9967855 0.05701809 8.731336
1 0 0 0.9758724 0.059 9.478075
1 0 0 1.480305 0.05628452 8.209308
1 0 0 1.480005 0 8.338306
1 0 0 1.276656 0 8.222016
1 0 0 0.9757755 0 9.080004
1 0 0 0.9758682 0 9.327234
1 0 0 1.481767 0.03935829 8.273337
1 0 0 1.482274 0.03731335 8.187577
1 0 0 1.481618 0 8.135054
1 0 0 1.484374 0 8.03301
1 0 0 1.484331 0 8.10561
1 0 0 1.289947 0 7.901007
1 0 0 0.9758392 0 9.103868
1 0 0 0.9757962 0.083 9.54988
1 0 0 1.454074 0 8.63693
1 0 0 1.481605 0 8.207947
1 0 0 1.472442 0 8.117909
1 0 0 1.480428 0 8.061802
1 0 0 1.475285 0 8.063063
1 0 0 1.261068 0 8.066521
1 0 0 0.9919913 0 8.914492
1 0 0 0.9978169 0 8.938138
1 0 0 1.480518 0 8.140607
1 0 0 1.481329 0 8.14989
1 0 0 1.479737 0 8.052615
1 0 0 1.480033 0 8.019613
1 0 0 1.481129 0 8.024862
1 0 0 1.481279 0 7.884953
1 0 0 1.482024 0 7.86442
1 0 0 1.481358 0 7.780721
1 0 0 1.481192 0 7.7463
1 0 0 1.211332 0 7.809541
1 0 0 1.029269 0 8.649449
1 0 0 1.246743 0.1405 11.22618
1 0 0 1.259864 0.04384567 8.14555
0 1 0 1.478572 0 8.084254
0 1 0 1.478710 0 7.873217
0 1 0 1.478537 0.05930941 8.250359
0 1 0 0.975826 0.2299373 10.89253
0 1 0 1.471501 0.02573627 8.524566
0 1 0 1.478541 0.1445139 8.482602
0 1 0 1.119504 0.1014721 8.227376
0 1 0 1.478529 0.07354795 7.977968
0 1 0 1.478482 0.1095574 8.251664
0 1 0 0.9758332 0.2175 10.5727
0 1 0 1.478464 0.1890966 8.171034
0 1 0 1.478568 0.0945 9.096051
0 1 0 1.478847 0 7.903596
0 1 0 1.478512 0.02493870 7.706613
0 1 0 1.478567 0.06151817 7.724447
0 1 0 1.264278 0.1277629 10.36215
0 1 0 1.478539 0 7.939872
0 1 0 1.478576 0 8.143808
0 1 0 1.478608 0 8.119101
0 1 0 0.8880254 0.3121078 10.89490
0 1 0 1.478575 0.1059535 8.655389
0 1 0 1.478495 0.1185008 8.50694
0 1 0 1.478617 0.1518169 8.264878
0 1 0 1.478645 0.1230610 8.610866
0 1 0 1.478635 0.1857287 8.202208
0 1 0 1.478649 0.1966471 8.295299
0 1 0 1.478595 0.1579412 8.261785
0 1 0 1.478476 0.1826083 8.1665
0 1 0 1.478627 0.1854162 8.34403
0 1 0 1.478497 0.05506608 8.271548
0 1 0 1.118613 0.2250860 10.31979
0 1 0 1.478377 0.1231014 8.143808
0 1 0 1.478619 0.09996427 8.05706
0 1 0 1.478350 0.1180383 8.063378
0 1 0 1.478416 0.09543303 8.029433
0 1 0 1.382989 0.071 8.486528
0 1 0 1.478481 0.06925642 8.007367
0 1 0 1.478532 0.1314119 7.999007
0 1 0 1.478658 0.105 8.06558
0 1 0 1.246133 0.05829363 8.49413
0 1 0 1.478706 0.08799315 8.032035
0 1 0 1.478367 0.08285421 7.906179
0 1 0 1.478638 0.05837174 7.918265
0 1 0 1.071578 0.258 9.955036
0 1 0 1.499097 0.113 8.084254
0 1 0 1.497695 0.05146572 7.903596
0 1 0 1.499554 0.05553846 8.116118
0 1 0 0.9758347 0.1845 10.16462
0 1 0 0.9758701 0.1050243 8.329417
0 1 0 0.9759214 0.07135641 8.091933
0 1 0 1.49832 0.047629 7.91169
0 1 0 1.498608 0.02206631 7.858254
0 1 0 1.498368 0.07600806 7.853993
0 1 0 1.498332 0.07688933 8.174421
0 1 0 0.8082631 0.2465 10.47019
0 1 0 1.499582 0.1132087 8.327726
0 1 0 1.500570 0.048 8.261526
0 1 0 1.49948 0.1215 8.085179
0 1 0 1.499608 0.0774359 8.164226
0 1 0 0.9758113 0.1585 10.43453
0 1 0 1.500749 0.07965746 8.3299
0 0 1 1.499284 0 6.672033
0 0 1 1.504007 0 7.36328
0 0 1 1.496020 0 7.495542
0 0 1 1.508787 0 7.937732
0 0 1 1.497885 0 7.495542
0 0 1 1.509550 0 7.3518
0 0 1 1.507919 0 7.440147
0 0 1 1.493474 0 7.108244
0 0 1 1.503204 0 7.331715
0 0 1 1.360374 0 7.415175
0 0 1 1.239429 0 8.221748
0 0 1 1.487152 0 7.695303
0 0 1 1.487929 0 7.178545
0 0 1 1.490041 0 7.252054
0 0 1 1.488756 0 7.118826
0 0 1 1.48474 0 7.226209
0 0 1 1.179097 0 7.104144
0 0 1 0.9757744 0 9.11041
0 0 1 1.485004 0 7.427739
0 0 1 1.496505 0 7.254178
0 0 1 1.499629 0 7.3473
0 0 1 1.508410 0 7.173958
0 0 1 1.509228 0 7.057898
0 0 1 1.505002 0 7.273786
0 0 1 1.500534 0 7.31854
0 0 1 1.501936 0 6.99485
0 0 1 1.502125 0 8.291045
0 0 1 1.502624 0 8.166216
0 0 1 1.504413 0 7.412764
0 0 1 1.500677 0 7.43956
0 0 1 1.502096 0 7.428927
0 0 1 1.504077 0 7.551712
0 0 1 1.503737 0 7.396949
0 0 1 1.49415 0 7.340187
0 0 1 1.497940 0 7.293698
0 0 1 1.505099 0 7.578657
0 0 1 1.487806 0 7.418181
0 0 1 1.506754 0 6.982863
0 0 1 1.383985 0 7.393878
0 0 1 1.429508 0 7.628031
0 0 1 1.502387 0 7.518607
0 0 1 1.501002 0 7.252054
0 0 1 1.504007 0 7.36834
0 0 1 1.502719 0 7.449498
0 0 1 1.499358 0 7.07327
0 0 1 1.5014 0 7.31055
0 0 1 1.367965 0 7.652546
0 0 1 1.200021 0 8.003697
0 0 1 1.508367 0 7.441907
0 0 1 1.50848 0 7.233455
0 0 1 1.148567 0 7.186144
0 0 1 1.015067 0 8.54325
0 0 1 1.533084 0 7.406103
0 0 1 1.532840 0 7.485492
0 0 1 1.532767 0 7.358194
0 0 1 1.535093 0 7.469084
0 0 1 1.534545 0 7.620705
0 0 1 1.205513 0 7.468513
0 0 1 0.9757276 0.04720169 9.062072
0 0 1 1.175054 0 7.850883
0 0 1 1.010813 0 8.842749
